cid,ltv,sessions
1014951771.1499372497,3,1
103460135.1499090342,1,1
103579386.1499068372,1,1
1054710447.1498867245,1,1
1055526594.1499084365,4,1
107271121.1495843389,1,1
1115735348.1457924259,8,2
1116698368.1501848974,5,1
112218047.1488758567,1,1
112544020.1495843467,1,1
1132427580.1485525587,3,1
1146174445.1496546853,1,1
1156330050.1491868912,1,1
1173858304.1503689960,1,1
117969827.1498608350,1,1
1212392803.1492626621,16,1
1213954507.1500277253,13,1
123126931.1496534459,1,1
1250728830.1499181711,1,1
127010119.1501318060,1,1
1285088312.1491177847,1,1
1306119858.1496534436,1,1
1325356496.1498176137,1,1
13263703.1495920785,1,1
1347842650.1503485720,1,1
1351882775.1499876284,1,1
1373621677.1498923044,1,1
1379346297.1497506036,3,2
1382941000.1497930067,2,1
1390580333.1496275342,1,1
1392801649.1491436978,8,1
1400725703.1497970972,1,1
1421727241.1495843414,1,1
1422663534.1504019195,1,1
1445359046.1497931338,1,1
1479652335.1491177870,2,1
1491034616.1503069786,1,1
151677457.1498176175,2,1
1522661215.1496534386,1,1
1543188701.1442218127,76,20
1603518028.1500908144,2,1
1609378517.1496534457,5,1
1639629138.1501851835,3,1
1639702680.1503842291,2,2
1686784534.1491868907,1,1
1693509767.1489190792,1,1
1729743589.1487514745,6,1
1730114957.1485907256,2,1
1741714846.1491868912,2,1
1766584970.1499087190,2,2
1772480446.1491868908,5,1
1774993959.1498176182,2,1
17774293.1491868876,1,1
1816950452.1491868887,1,1
1820423232.1495584424,5,1
1827328704.1498176320,7,1
1830026725.1490124242,1,1
1830624631.1488672179,2,1
1838648088.1500262091,12,2
1842628830.1495843394,1,1
1866919706.1500389868,1,1
186901028.1491177786,1,1
1871659120.1502554625,5,2
1901190845.1485043316,1,1
1906183502.1496534450,1,1
191854972.1502902042,1,1
1932990237.1500011451,1,1
1945052330.1499842329,4,4
1949110905.1483747295,1,1
1952252849.1500619027,5,1
1964511478.1500965872,1,1
1968893047.1503200774,2,1
2002171410.1493078782,2,1
2033503813.1488326462,1,1
2044183342.1502234831,1,1
2049747377.1495930113,7,5
2053603141.1503619438,1,1
2074691560.1487515575,6,1
2082792409.1496534423,1,1
2111771622.1491177839,4,1
2127528353.1498176162,1,1
2127602096.1487514625,2,1
2134102306.1496534543,5,1
219932318.1486948031,4,1
228210486.1498176183,1,1
234679381.1489708872,2,1
243798078.1504163958,1,1
248288008.1491868894,1,1
254694962.1499189276,1,1
255890030.1495843393,1,1
260545662.1491177916,1,1
263706780.1492387540,1,1
265010447.1491177852,1,1
274317993.1490122434,1,1
283831822.1498922821,1,1
291005612.1493510688,1,1
298686836.1500277386,2,1
303409505.1498176219,1,1
319633248.1483401775,1,1
345524542.1487376330,1,1
36190779.1498176165,1,1
366007775.1500262421,3,2
372046096.1496534445,1,1
378853994.1498608284,5,1
38549109.1502534160,1,1
394865898.1495843401,1,1
415374896.1492814125,2,1
430259006.1487376234,6,2
438559679.1495843389,1,1
487842177.1495935775,1,1
504311105.1491868887,4,1
50433826.1501545936,7,1
504635162.1500605980,1,1
529242864.1491868882,1,1
531999753.1491177840,3,1
545219273.1483421948,2,1
548400845.1496833401,4,1
559086816.1495584151,2,1
559830578.1496534482,1,1
559903262.1496534445,12,1
580638542.1498176169,1,1
582340690.1498751707,1,1
583903185.1498259337,6,1
591412599.1497926086,1,1
611512605.1499299724,1,1
614448716.1495843397,3,2
632250937.1495420584,1,1
633887968.1497922207,1,1
640564841.1485518062,4,1
64710998.1500908510,1,1
660229842.1493597033,9,1
677460179.1485246450,3,1
687449019.1491868888,1,1
694069595.1501847890,1,1
709488966.1503105191,1,1
739953825.1500731581,1,1
744628561.1442295768,2,1
749465275.1503129271,1,1
769415510.1496534450,1,1
796356760.1498835443,1,1
811250032.1498176170,1,1
817238497.1499229641,15,2
822610614.1491177863,1,1
84042376.1500832004,1,1
84641811.1485043312,7,1
846496741.1498608290,6,6
848700346.1498176173,1,1
883275554.1490486474,1,1
924990017.1497052793,1,1
930674664.1495843383,1,1
945120963.1497922253,1,1
954528434.1479197461,8,1
969172930.1502928081,1,1
970251199.1493769663,1,1
970872692.1494893148,1,1
973883978.1499958783,1,1
981489198.1499999038,7,3
